Date	Player	Character	Topic	
3/23/2023	Shea Backes	Lirulin	State of the Court: Unity (citizens)	The peasantry in Port Frey are currently is quite divided. There are many who are glad the Returned are being held accountable for their actions, but they are still hurt and struggling from the attack by the Bloddy Egde and the anarachists that have been causing property damage and vandalism in recent times. There is a lot of positive feedback about the building of the walls and belltowers, both providing defenses to the non-returned districts and alerting the citizenry of incoming dangers, but there is still grumbling about if enough is being done to punish the dream mages that continues to plague the town with the fallout of the consequences of their actions. It seems like for every step forward in rebuilding relations with the Returned, there are two steps taken back. Additionally, much of the local talk is about the *reactions* of the laws to the actions of the Returned, but cannot seem to preempt actions taken that have dire consequences for the populace.
3/23/2023	Shea Backes	Lirulin	State of the Court: Citadel (Kaelin)	The Citadel is on metaphorical (and in some instances literal) fire following the release of all the entrapped creatures on Tear. The Citadel is overrun by demons, celestials, and various elemental forces. While many of the celestials and demons are fighting each other using the Citadel as ground zero, many of the others who are more angry (specifically the fallen Celestials who were trapped in soul gems) are actively hunting members of House Kaelin who either entrapped them or used their powers as summoners. Many of the Kaelin elderly and children have fled to the north seeking safety with the Myros, or the Rakuten and Svivore.
3/23/2023	Shea Backes	Lirulin	Investigate Prominant Groups: Port Frey	influence follow-up: Investigate Prominant Groups: Port Frey  - The Hand, nobody knows who they are but you got to hand it to them, they got their fingers in all the pies.  - With the collapse of the Jackals' Children's Tears empire, the Salamanders have been finding their way into all sorts of trouble and business. It seems between the Salamanders and the Skull Children, the children of Port Frey are enterprising and willing to get their hands dirty.  - The International Merchant's Guild, which is responsible for the administration of the port itself (and paying taxes to Unity), has had issues with the Returned that heavily damaged relations locally, but thanks to the help of the Harbormaster, the government was able to limit the embargo to just the Returned so the Port operations continue as normal. There is reason to believe that the former Harbor Master Caliban and the current town Treasurer Orsino Paloma are making strong headway in repairing these relations.  - Another prominent group is Unity! Explanation? Enough said.  - The Concerned Citizens Brigade which is a coalition of citizens who are unhappy with everything, but aren't necessarily looking to fix it. They're just angry. - - Citizens for a Better Port Frey - is a loosely organized group of peasantry who came to Port Frey as refugees from the wars on the Expanse. They have banded together and are doing the best they can to improve their parts of town and their lots in life. This group is responsible for the Yule Market that happens annually and a number of small festivals throughout the year to bring together the citizens in a positive way.
3/23/2023	Gil Ramirez	Slip	Investigate Rumors: Necromancer's Tower (are they frustrated with the Blood Mages using their space)	No
3/23/2023	Gil Ramirez	Slip	Investigate Rumors: Wraith Harlock using which school of magic? Is he using blood? necro? other?	Wraith Harlock is a ritual necromancer
3/23/2023	Gil Ramirez	Slip	Investigate Rumors: Blood Cauldron if they are frustrated that THEY are not doing the blood magic for the dagger	No, because they have the dagger
3/23/2023	Nathan Rick	Leofric	Military Insight: Whitehall	Whitehall is being used as a rallying point for anyone from the region who are willing to fight - peasants are being trained and any surviving soldiers from the Southern Army and Voi army have mostly moved to Whitehall. Currently Whitehall's forces are holding strong at 19,000 soldiers, 550 spies, 110 assassins, 4000 guards, and 200 White Chalice knights
3/23/2023	Moira Denton	Domni	Political Insight: Drir Unity Seat	After the last Unity Representative was eaten by the Drir Returned, there was a hotly contested conflict which of the tribes would serve as the new Unity Seat. The Amimaerun sent a replacement, which the Mortichyte on the island quickly beheaded and tossed his head into Port Frey for the Returned to deal with. The Mortichyte put forth one of their own who is inexperienced and young, and the Peleset put forth a Mask containing the spirit of an ancient Drir who is currently in the Abyss. Through much debate and competition, involving the hunting and eating of hearts, the Mask came out victorious. The Head was determined his proxy assistant and then the living Mortichyte as tertiary should the other two be unavailable. As such, it is difficult to describe the political leanings of the Mask. However, the Peleset are known for being the slightly-more peaceful and diplomatic of the Drir tribes and will often act as the peacekeepers between the Amimaerun and the Mortichyte, so one can only hope that continues. As of recent Unity meetings, the Mask seems to be fairly neutral and uninterested in international politics if they are not related to the Drir. It is, however, aligned (as most Drir are) with the fallen celestial Teppidus, known to be the defender of the Drir.
3/23/2023	Moira Denton	Domni	Political Insight: Mandalan Unity Seat	While High Priestess Miriam is still around Port Frey, she has been difficult to pin down in the post- Mist era of Port Frey and so Mandala has not had a stable Unity seat for some time. It is often filled in for with various lower ranking politicians and handled more by group consensus than a single one making any decisions. In general, without an established connection to their homeland, the Mandalan representatives seem to be a little aimless unless there is something clearly specific they should be involved in or have an opinion on like the Clocktower or the golden egg that recently came through town. As long as their actions seem to align in service to their country or the dragons, they will likely go along with it. All of the recent situations with extra fae being brought into the world and given the opportunity to make big actions has the Mandalans on edge, and rumor has it that such things have woken even the ancient primogenitor dragons.
3/23/2023	Moira Denton	Domni	Political Inisght: Darius	At the moment, Darius Lelaroy's entire political focus is on the strengthening and survivability of Whitehall. He orchestrated the Eastern Expanse Alliance because it benefits Whitehall significantly more than the other kingdoms of the former Amalgamation. The invitation for the repatriation of the Trahazi and Effendal to the region also serve the same purpose
3/23/2023	Moira Denton	Domni	Investigate History: Concerti	Founded in 65t and captured by the Nadine Empire in 68t, in the "Battle of the Coasts", Concerti is incredibly important to the economy and trade industry of the Nadine Empire by being a major crossroads for travel and merchants. It's known dominantly for it's plethora of gravemills where the undead and bodies that are no longer useful to the Empire are ground up to be used as fertilizer, which is also one of their major exports, especially with nearby Cestral. As a center of trade, it had a particularly nice downtown shopping district with rare clothes, and unqiue high end items imported from around the world.
3/23/2023	Moira Denton	Domni	Investigate History: Ash Storm	Etyr, the Ash Storm, was dominantly active in an era of pre-history before books and records were kept, so most knowledge of him is from old stories that weren't written down until generations later. As such, it's unclear when he actually went to sleep as he was presumed dead in the tales. What is known is that he was native to the Nadine region, a territory he was known to have shared with his mate, the "Fire Bird", and was the unequivicoble leader of the red dragons on Adelrune. For decades he raged against the Nadine Empire as they encroached on his region, and there are stories of great forest fires and the destruction he wraught against the territory, which earned him the title of "the Ash Storm". Imperial dragon hunters used dragon bone weapons which were particularly effective against dragons, and so the common belief (until his recent reemergence) had been that he had met his demise one day when he had been cornered by Imperial dragon hunters and his mate joined the fray, which ultimately ended in a blinding supernova of flame and destruction leaving nothing but ash and debris in it's wake. The fate of his presumed-dead mate is currently unknown, given his own reappearance.
3/23/2023	Moira Denton	Domni	Beastiary Analysis: Demonhawks	NOTE: REFUND SEE LORE DOCUMENT
3/23/2023	Moira Denton	Domni	Investigate Fame: Ash Storm	He burned it all down. All of it. Yes, even that forest. And that one. And that one again.
3/23/2023	Moira Denton	Domni	Investigate Rivals: Ash Storm	It is well-known that Etyr hates blue dragons. Particularly he has an old, deep set rivalry in Noren, "The Wizard", a blue dragon known to have had territory in what is now the Vicaul lands. Once before after a great battle, Etyr finally won over the blue dragon and while his hatred and focused anger have abated, there is still a deep rivalry between the pair.
3/23/2023	Moira Denton	Domni	Investigate Rumors: Ash Storm	- Rumor has it when provoked, Etyr never calms down or lets it go - Rumor has it, Etyr hates stained glass - Rumor has it, Etyr prefers skirmish tactics rather than direct conflict against the Nadine forces - Rumor has it, old wounds that are still healing can be seen on the dragon even at a distance - Rumor has it, that those who are strong enough to survive a blast by his fire breath go into a frenzy afterwards, taking out the few who survived.
3/23/2023	Moira Denton	Domni	Investigate Rumors: Concerti	- Rumor has it, trolls have moved in. - Rumor has it, Dourhawk Manor is still considered one of the most valuable properties in the Nadine Empire. - Rumor has it, the former property owners in Concerti are gathering assassins on retainer. - Rumor has it the mists are thinning over the Nadine Empire. - Rumor has it, the Ninth legion is losing, and they are down to a fraction of a single division left in the fight.
3/23/2023	Moira Denton	Domni	Investigate Rumors: Darius Lelaroy	- Rumor has it, Lord Darius is fine. - Rumor has it, Lord Darius has never been better. - Rumor has it, Lord Darius is in perfect health. - Rumor has it, Lord Darius has just returned from a relaxing vacation on the coast with a golden tan.
3/23/2023	Anna Teske	Aprica	Contact Scholars: Drir Rituals	CAMERON
3/23/2023	Jamie Huff	Anser	Contact Scholars: Lore Ravens	REFUND
3/23/2023	Kiel or Meesh	Poet or Ki	Contact Scholars: Wyrms	PICNIC
3/23/2023	Patrick Avery	Leon Everhardt	Military Insight: celestial forces at the clocktower	the Clocktower fight had a mix of Celestial factions present, while there were Harbingers of the Crescent Sun, there were also a significant number of members of the Choir of the Effervescent Song with their utility units who specialize in communication, speed, and abundance.
3/23/2023	Kat Rios	Gya	Contact Scholars: knights of the blood chalice	DAN
3/23/2023	Jacen Black	Vander de Oro	Investigate Rumors: the mask of prophecy - location? whole? who has it?	Rumor has it House Paloma has the mask. Rumor has it House Montaige has the mask. Rumor has it no seriously, House Paloma has the mask. Rumor has it, no I swear for real House MONTAIGE has the mask. Rumor has it the destruction of the mask caused a divine curse upon House Paloma that is coming to pass.
3/23/2023	Alex Nicholson	Akillix	Military Insight: the Gael Forces on Tear 	There are three known tribes of Gael on Tear, who historically do not get along with each other but came together under the Banner of the Black Wolf during the War of Radiance. Since the end of the War, the Banners have made arrangements to garrison in Effendal lands on Tear and have strong alliances with the Citadel Effendal and Radolond, but keep to the southern part of the island and out of Svivore and Rakuten territories. The Banner of the Black Wolf under the leadership of Klev Vol'ghos has 9,200 Gael Warriors, the Banner of the One-Winged Owl under the leadership of Erontu has 9000 Gael Warriors (though the first of these have departed already for the ruined Gael lands), and the Banner of the Blood Crow has 11,100 Elite Warriors, and 5000 Blood Mages under the guidance of Scadox.
3/23/2023	Trent Wasko	Clove Tackett	Investigate History: Golden Tomes	The Golden Tomes were an artefact of the Lore Masters' Guild once held in the posession of every chapter house across Adelrune. With the bitter rivalry and opposing viewpoints of the Storytellers, many of these chapter houses were razed and its Golden Tome destroyed over the century until only one Golden Tome remains in Alexander, the last known public library of the Lore Masters' Guild.
3/23/2023	Clara Goldstein	Tamsin	Investigate Rumor: what has become of the Bloody Edge without Leucraven? are they looking for work?	- Rumor has it, the Bloody Edge is disbanding. - Rumor has it the Bloody Edge are gearing up for another attack on Port Frey when the Returned are least expecting it, so they can recover Leucraven's body. - Rumor has it the former Bloody Edge members are reforming their old mercenary companies. - Rumor has it, the former Bloody Edge members just want to go back to Edge and their homes, and take a much-deserved vacation. - Rumor has it, they have no interest in continuing this fight.
3/23/2023	Nicholas	Vulpeke	Investigate Rumor: murder of Trina Anhavia	Rumor has it Trina Anhavia was a shapeshifter demon working for T'tocs and when she was discovered she was killed for it. Rumor has it Trina Anhavia discovered something she shouldn't have and was never heard from again. Rumor has it the last place Trina Anhavia was seen was talking to a group of dark-clad people near the walls during the siege of T'tocs. Rumor has it Trina Anhavia got to close to the shapeshifter spy within Unity and was captured, tortured for information, and then disposed of. Rumor has it Trina Anhavia was sacrificed to a dark god.
3/23/2023	Adrian	Ferdinand	Investigate Rumors: who is the (new) voice, and how did they become this?	- Rumor has it, the Voice of Chorus has brought godliness to a godless land. - Rumor has it, this person claiming to be the new Voice has the title because they have a following who believe and there is no one who can dispute it. - Rumor has it, the new Voice is from a peasant from the Kingdom of De'Fey who fled when the Coatl attacked. - Rumor has it, the Church needed hope, and in their darkest moment, the light of Chorus returned to the people in the form of this new Voice, who has rallied the people together and defended them with miracles. - Rumor has it, the new Voice has been authenticated because they have performed the miracles of Chorus, and the Inquisition has confirmed that they are not a demon, celestial, or fae.
3/23/2023	Trent	NPC	Whitehall bonus info beyond Domni's (military)	In addition to a solid military force (15000+ soldiers), Whitehall also has an extremely strong network of spies collecting information and spreading misinformation. Particularly they have 550 spies and 110 assassins
4/23/2023	Nicholas Lippert	Gaulten Rowe	Where is the native habitat of the Golden Moth and how can we safely acquire them?	An Excerpt from a research paper entitled: Golden Eggs: Population Ecology of the Endangered Golden Moth.The Golden Moth is considered to be nearly extinct on Adelrune due to a drastic loss of habitat and overharvesting of their golden eggs, which are both a valuable alchemical component and a delicacy that was highly favored by King Arresto Dacean during his reign. The only known population of Golden Moths that survives in the current Age is at the Moonmoss-Vercrux Academy of Alchemy, where the eggs are carefully evaluated to keep the population at a healthy level of biodiversity while providing the necessary alchemical reagents for further study of their unique properties.
4/23/2023	Patrick Bender	Avitus	What creatures make yellow pearls & where can we find them?	Yellow pearls are the among the rarest pearls on Adelrune, due to the fact that no one has yet identified their true geographical source. Produced by the Gold-Lipped Oyster, yellow pearls are approximately 1 inch in diameter and are considered a nearly priceless treasure. For the rare merchant or trader who comes into possession of one, they are often extremely tight-lipped about their source of such an item.
4/23/2023	Salem	Skabs	Is it possible to repair Ficher's Basin? If it is repaired, will Filcher be remade?	The basin in question is one that is used by fae to forget memories, this one in particular belonged to Filcher, but others exist in the world. It does not have the ability to remake a fae as that power does not truly exist in the world, but if you are able to repair it and design a sufficient ritual, some of the memories may potentially be recoverable/viewable.
4/23/2023	Shy Mintz	Rosen	Investigate Rumor: Ferdinand Cynwerd being followed/assassinated	While there was someone who thought Ferdinand was once being followed suspiciously and alerted him to the potential threat, any rumor of him continuing to be followed or potential assassinations seems to be conjecture and paranoia circulating within the Church of Chorus followers.
4/23/2023	Summer	Sephelia	Investigate History: Lisra	Lisra, the Celestine goddess of music, is also called "the tornado" and is often connected to wind patterns, especially the whistling through the trees or the howl of the wind whipping through narrow city streets. She is the child of Pheonix and Tempest. The northernmost city of the Celestine Empire is named after Lisra, and is located within the hotly disputed lands that were declared a military-free zone between the Celestine and Gael at the end of the Northern War. It remains to be seen if peace will hold in the region. During the War of Radiance with the necessity of song being used at the Battle of Port Frey to combat Bel'e'athru's control over the Celestial Star, it was fortuitous and considered a good omen that it was the Legion of Lisra who arrived in Port Frey on behalf of the Celestine Empire.
4/23/2023	Summer	Sephelia	INVESTIGATE HISTORY: Celestine incursion on Tear	By order of Captain Masefield, on this the first day of the March moon, the Second Year of Adelrune, on behalf of General Tolon, under her Majesty, Queen Elainne Ceien Celestine’s rule, the 16th Royal Scout Detachment is hereby ordered to withdraw along a northern route and make camp just north of Two Rivers. The 16th will use this position as a staging camp, and will continue to send delegations to the Effendal house of Kaelin for deliberation. Until negotiations have concluded, and an agreement reached upon. Celestine forces are hereby ordered to cease all aggressive behavior and report to their superiors for further orders. The newly discovered populace now known as ‘the Returned’ is given full liberties and may leave at their discretion. Officers are also authorized to equip ‘the Returned’ with whatever food and provisions they deem necessary to enable said people to survive the proposed journey southward. Blankets, tents, and other necessities may also be provided at the discretion of a ranking officer within the boundaries of reason and temperance. In her majesty’s name, ~Herald Flavious Justinson, Royal Herald, 16th Scout Detachment
4/23/2023	Shy Mintz	Rosen	Investigate Rumors: Kiesh Hahn	- Rumor has it, Kiesh often can be found wandering through town. He has been mingling with people from all walks of life and across nations- more openly these past few gatherings.  - Rumor has it, Kiesh is openly not a very devote member of the Church of Chorus yet is often seen traveling to and from the Church, even when nobody else is around. During the services he does attend he has been seen fast asleep. - Rumor has it Kiesh is working to take down the Church of Chorus and is secretly leading an effort to hunt down and execute Inquisitors and any remaining Church leadership on behalf of Princess Arielle Hastings - Rumor has it, Kiesh is a known sorcerer but also is known to associate with members of the Black Council. - Kiesh often carries a sword but has been seen blocking a sword with his bare hand. - Rumor has it, Kiesh was an integral part of the success of the Hastings Rebllion due to his connections to various nefarious organizations within the former Amalgamation - Rumor has it, Kiesh is one of the last remaining descendents of The Way and has restarted the notorious Thieves' Guild - Kiesh seems to revel in the ruination of alcohol and may of his fellow returned avoid him if they are particularly deep in the bottle.
4/23/2023	Garrett	Byamba	State of the Court: Public Works Projects (Port Frey)	Due to the sudden and unexpected disappearance of Iron, Port Frey and it's general infrastructure has taken excessive damages over the summer. Many structures were significantly weakened because of sudden switch to silver nails. As such, the office of the Unity Quartermaster has put out a call for smiths to make manganese nails to assist in repairs. They are in need of fifty units of manganese to be shaped into nails by smiths of any kind (blacksmith, armorsmith, weaponsmith, locksmith), and as many engineers as possible to assist in the repairs around town.  (Note: if the manganese tags are collected, a mod is planned for as many engineers as can be gathered to occur Saturday night at approximately 1am (meet Crystal at the staff trailer in NPC camp)
4/23/2023	Devin Hawke	Mio Hart	Political Insight: Golden Wolf	Arbane Talthon, known as The Golden Wolf has made himself known amongst the effendal Returned the past few years. He has been a loud voice for Effendal relations with the Returned. His recent campaign to collect the Lost Sparrows has been considered a strong success amongst the Effendal Council and many are curious to see if he can continue to add to the ranks of the Citadel by reconnecting the Returned with their lost culture. He is highly placed in the Kaelin hierarchy and has been trusted in both political and military matters. His most recent exploit leading the joint Effendal and Returned attack on T’tocs forces was extremely successful and daring. Not only was it a political success coordinating Delfestrae, Kaelin and Eltilvor forces but a diplomatic one as well, convincing the Council to allow the Returned to use secret magical means to reach the battlefield undetected. The military success of the mission itself is of course self evident. Overall, Talthon is considered an honorable Ritari and a prime example of his people
4/23/2023	Devin Hawke	Mio Hart	Political Inisght: Sir Seriyu	Sir Seriyu is a veteran of the War of Radiance and the former bodyguard for the Mandalan Unity Representative (High Priestess Myriam de Ariete) and has filled in for her politically on a number of occassions. He's a man of few words, preferring to listen and observe, and takes his job extremely seriously. He leads by example, and above all desires peace. Fiercely loyal to Mandala, he is generally indifferent towards the Effendal, but has a strong disdain for the Drir, which also bleeds over into his feelings towards all of the wild nations and would prefer that none of them have Seats on Unity. Curiously, he does not wear emblems of his knightly order or bring attention to it unnecessarily, merely acknowledging his knighthood title when introducing himself. In his offtime, he prefers the solitude of fishing to most other pursuits
4/23/2023	Devin Hawke	Mio Hart	Political Insight: Ser Wenrys Bizenwerth	While Wenrys isn't vying for the War Seat themself, as they were recommended by Dame Nightshade without their knowledge, ability-wise Wenrys is even-headed and resourceful, and understands the need to use all skills at ones' disposal. They certainly fall under the axiom of "those who do not seek power are most qualified to hold it." A lot of their work within Ad Decimum was top secret research, though in recent years they've spent a lot of time being a field researcher, and they've earned a lot of respect from many nations and Orders through the assistance they've provided to Unity in Port Frey, as they previously they were never overly visible in what they did. As a Crown Knight, and through their previous top secret work, they are closely tied to and aligned with Belisarius and his research into divinity. While not directly involved in the experimentation on the Gael during the Northern War, his known stance was "hopefully something good will come of it".
4/23/2023	Devin Hawke	Mio Hart	Political Insight: Ser Verrus Barkus	Politically speaking, Varrus Barkus came to Tear as part of the contingent group from the Kingdom of Vercrux before the Returned changed history, but he has no knowledge of that difference in the world, so he has always believed himself to be of the Kingdom of Vein. His loyalty is first and foremos to Kingdom over Church, and generally only attended Church of Chorus serves as he was required to under the theocratic rule of the Amalgamation. As such, his first focus is always Veinish people. Barkus is extremely lawful, and while serving in Solace lands, he believes in justice and the protection of society by Unity Law (often he is asked to represent Unity for trials and execution), and since the founding of Unity, he has always filled the Amalgamation's Unity Parliament Seat as their Representative since Darius was abroad and unable to. He is well-trained in the art of war, serving as the standing commander of Veinish troops on Tear, he went to Breach in the Second Crusade, and stood as King Rolf Vein-Vercrux's right hand man during the Battle of Port Frey in the War of Radiance. As a soldier back home, he was part of the elite forces, fighting the Vicaul specifically (though he doesn't actively dislike them, he was following orders), and he's very comfortable in a fight. During the War of the Wine, he struggled with the regicide/patricide committed against of King Galen Vercrux, but remained neutral in the fallout as he needed to see that Rolf was focused on keeping the Vein strong. As the Kingdom of Vein holds a unique crossover position in the world (in both timelines) he is supportive of the Wild Nations, but still admires the moral justice of Whitehall in doing "the right thing" by inviting the Effendal and Trahazi back to their former lands (though he thinks it's quite risky). Verrus feels at home in the woods and enjoys hunting.
4/23/2023	Devin Hawke	Mio Hart	Political Insight: Erontu	Erontu was not interested in filling the position of Unity Seat for the Gael, but only took up the position because as the leader of one of the three Gael tribes on Tear he refused to let the Banner of the Black Wolf continue to dominate peace negotiations and treaties on behalf of his tribe following the War of Radiance. As such, he hates his job and leaves most of the day-to-day work on Caeli Oakenthorn's desk. He's extremely flattering in his speech, including the insults he throws, which regularly throws people off who don't expect such words from a Gael. In the majority of his Unity voting, his focus is first and foremost the Gael, and then with the Effendal, who he considers his allies. Beyond that, if Caeli doesn't persuade him on a particular path he will always vote with the majority, regardless of what measure is being discussed. Outside of his duties, his favored hobbies include watching feats of strength and the grafting of trees. Though his tribe and the other Gael on Tear are settled comfortably in Effendal lands, he desires to return his people to the Gael forest. He seems to desire peace and has held a tenuous peace with the other Gael tribes on Tear, and in recent months he has been seen taking trips to look out at the ocean for long periods of time.
4/23/2023	Devin Hawke	Mio Hart	Political Insight: Sir Augustus Vespillo	From what you can gather, Sir Augustus Vespillo has a long storied history serving the Nadine Empire Loyally. Diplomatically, he leads the Knights Sanguine on Tear as their acting Knight Captain. This position was granted to him after faithful service to the Empress in her very own First Legion. In an act of unquestionable dedication, he relinquished his position and pins as Praetor when asked to command the Knights Sanguine's expedition to Tear. His forces landed upon Tear during the Siege of Port Frey in August 10AR. They did not actively participate in the siege, so their goals upon the island, and his reasons for being appointed still remain unclear. It is clear however; he will act in whatever capacity his Empire asks of him.
4/23/2023	Devin Hawke	Mio Hart	Investigate Rumors: Salamanders and Knives are disappearing?	There does not seem to be any more Salamanders or Knives disappearing than usual. The stray disappearance to getting caught by the guard, getting killed by Returned, or getting into a gang turf war are all fairly normal occurances.
4/23/2023	Chris Bennett	Dayala	Investigate Rumors + Healthy Paranoia: Nameless Faith in Port Frey	- Rumor has it, anywhere Belisarius goes, dark shadows follow. - Rumor has it, one of the Neri family luxury ships has been in Port Frey Harbor since last gathering, likely where Scatho has been staying. Rumor has it he has been spending money and seeking out every connection he can, like a madman to find any hint of what happened to his brother. Most recently, pulling in several political favors, inviting several wealthier nobles of Port Frey to dine with him. - Rumor has it, someone has been purchasing dark magic scrolls locally, and the description matches Scatho's bodyguard from the Fairwinds Festival. - Rumor has it, the symbol IX has been carved in trees and stones around town, or scribbled on the sides of buildings and doors. - Rumor has it, the Nameless gather near the docks in the early hours of the night to make bloody sacrifices to their dark gods.
4/23/2023	Summer	Sephelia	Investigate History: Laylines and Rifts, and connections between the two	There is certainly a connection between rifts and leylines - specifically in that any ritual that can create rifts would require the power source of being on at LEAST one leyline, but quite often such rituals would be performed at convergence points of multiple leylines. This is particularly found in how the cities of power (most capital cities of nations) are on leyline convergence points, such as where Castle Thorn now, the Breach/straight between the continents was the site of a White Chalice ritual at the Battle of the Breach at the end of the Crusades.
4/23/2023	Summer	Sephelia	Investigate History: Demenor	Demenor is called the "Demon Lord of Nightmares" and depictions of him present him as an elf with wings of shadow and smoke. Some of the oldest stories about him reference that he was the original one who stole Cinnorast the Hammer, and he is rumored to have even stole the name "Demenor" once upon a time. In the first Dark Future, the Returned believed he manipulated them to kill the fae Inexo, who was believed to be a demon until the moment of her death, as such killing her three years in their future meant killing her in the present time and at all times throughout history.
4/23/2023	Summer	Sephelia	Investigate History: Minos (Aspect of Eden)	Minos (also called "Fate") is the Aspect of Time, one of Eden's three aspects of death - the others being Malady, the Aspect of Plague, and Murder. When in a physical form, Minos takes the shape of an ethereal white spider and seems to contain powers of time, as it has been observed turning anything it touches to dust - as if the object or being has lived out the rest of its days in an instant. During the days of Theddespari, Briar worked with the Theddespari mages to capture and trap Minos in the Black Sands Hourglass, stopping time for the Mages to finish their studies. Minos was finally freed by the Returned when they broke the Hourglass in their earliest days.
4/23/2023	Summer	Sephelia	Investigate History: Falcon	Falcon was called The Hunter, and when seen in visions was often noted to be a black falcon. The god of the hunt, Falcon gave humanity the gift to overcome obstacles, whether small or even those bigger than they are. True to form, Falcon is known to be one of the most solitary of all the Old Ways gods, only coming together with the others during a time of great need or turmoil, and often went out on adventures, inspiring many of the great beast hunters of the Vicaul to hunt and take down the superfauna of Eur and come home victorius. It is theorized that his solitary nature is ultimately left him vulnerable to be killed in March of 10AR, taken by the spreading entropy of the universe.
4/23/2023	Summer	Sephelia	Investigate History: Lisra	Lisra, the Celestine goddess of music, is also called "the tornado" and is often connected to wind patterns, especially the whistling through the trees or the howl of the wind whipping through narrow city streets. She is the child of Pheonix and Tempest. The northernmost city of the Celestine Empire is named after Lisra, and is located within the hotly disputed lands that were declared a military-free zone between the Celestine and Gael at the end of the Northern War. It remains to be seen if peace will hold in the region. During the War of Radiance with the necessity of song being used at the Battle of Port Frey to combat Bel'e'athru's control over the Celestial Star, it was fortuitous and considered a good omen that it was the Legion of Lisra who arrived in Port Frey on behalf of the Celestine Empire.
4/23/2023	Kiel	Wings	Investigate Rumors: Antioc's destruction (other than dream)	Investigate Rumors can confirm that there was actually a dream mage manipulating and misrepresenting the situation at Antioc during the Mists.
4/23/2023	Patrick Cooper	Sir Roland Tassis	Military Insight: Coatl in the Kingdom of De'Fey	Going into the Mists without an orb for protection is highly dangerous for your scouts collecting the information for you from the region, and with the variable nature of the Mists it is impossible to settle on exact numbers especially across such a broad expanse as the former lands of De'Fey. Without the chokepoint of fortifications that used to make up the Eastern Wall, there is nothing stopping or slowing down the Coatl horde across the plains. From a military standpoint, it is clear that just claiming part of the land is untenable for any length of time without a very large defensive wall such as the Eastern Wall to create chokepoints, dozens to hundreds of towers to raise alarm at a distance, and an army of tens of thousands to support it. The Coatl army is quick to move with their mounted units and well-trained in keeping out or killing those who try to move onto their plains.
4/23/2023	Trent Wasko	Clove	Investigate Rumors: Dancing Spiders (Widow's ex-lover who is a Returned)	Maliya's ex-lover, David, is called the Brown Recluse. He Returned in the summer of 2018, telling those who aligned with him that Maliya killed him to take over the Dancing Spiders' web on Tear.
4/23/2023	Jayme Reyna	Vasa	What are important historical events that Bastion was involved with/intervened with?	There are numerous storybooks about celestials coming to Adelrune in times of great need, but it's unclear if they are from the Golden Realms or Bastion. The most prominant, currently relevent group that is from Bastion is the Harbingers of the Crimson Sun.
4/23/2023	Andre Urbano	Castete	Historical accounts of transcended celestials?	Due to trancending happening when a soul dies, it's nearly impossible to verify those who have actually transcended, though lots of people claim that their loved ones have, especially from the Celestine Empire. One of the most famous humans who were expected to have transcended, if not for a moment of horor, was Anziel. During the Age of Tane, Anziel was beloved by celestials for being so good and righteous, she emboided that which celestials value most. She was meant to marry King Rouchard Syltane I "the Golden King" of Castle Syltane, and for the wedding, dozens of celestials had been invited to be in attendance. Unbenknownst to anyone else, C'thon Darkweaver had managed to entrap Anziel and bound her to an amulet to manipulate and control her. During the wedding, with all of the most influential celestials, royals, and nobles in attendance, C'thon used her to open a portal straight to the Abyss. From this portal rushed out demons in disuises to look like Celestials, and the wedding became a blood bath, with dozens upon dozens dying. King Rouchard and his nation felt utterly betrayed by the Celestials who, in their eyes, were no better than demons, and from this day, eventually his son Davidas, would form the Gold Chalice because the harm they caused was personal. So much hurt and life altering pain occured that day that it forever changed the relationship between humans and celestials - and yet, the celestials never put the fault on humanity. The Celestials understood that the people of Castle Syltane and eventually the Gold Chalice were GOOD people who were tricked and betrayed, and so they didn't properly fight back except to defend themselves, causing as little harm to the humans as they could because they refused to take the lives of good people. Others often named to have transcended are those like Thomas and the Wanderer.
4/23/2023	Brian Hirth	Robin	stories of large trees throwing boulders and saplings dancing with children - any local locations? connected to Greensage trees?	Yes, there are various places across Tear where giant boulders exist in odd areas that such large rocks shouldn't be or geographically don't make sense. They are especially prevelant in areas near lumberyards. These locations do not seem to coincide with the Greensage trees.
4/23/2023	Lux	Elysium	strange rocks in Shenanigans/Magpie's pockets? (3 rocks)	leave at check-in
4/23/2023	Kiel	Wingallock	can we build on how Ambroius tehtered part of the soul to an item, to understand how Ayan boned himself to his tethers? ultimately, we want to learn how to create 4 dream tethers like Ayan/Shakes to tie someone to their dream permanently.	Making a powerful dream construct with multiple tethers generally requires an EXTREMELY powerful dream creature with the knowledge of how to do so - in the case of Shakes and Euridice, Demenor created them; the remnants of the Red Dreams were shaped by a powerful dream creature at the Fall of Theddespari.
